,task_source,task_target,method,mae,r2,random_state
0,rest,passive,no_alignment,8.108044804088546,0.7170557632623431,15795
1,rest,passive,align_z_score,7.609200675492237,0.7341578142282963,15795
2,rest,passive,align_recenter,7.065017422215837,0.7712639138241051,15795
3,rest,passive,align_recenter_rescale,6.8887396413114095,0.7839274380972447,15795
4,rest,passive,align_procrustes_paired,4.526821403321694,0.8491650886114314,15795
5,rest,passive,dummy,15.810296411856473,0.0,15795
0,rest,passive,no_alignment,8.495157194862266,0.6834229265436336,860
1,rest,passive,align_z_score,7.462735258312954,0.7441814686523442,860
2,rest,passive,align_recenter,7.201865574290139,0.7695298188653135,860
3,rest,passive,align_recenter_rescale,7.02963365784431,0.7811093457830135,860
4,rest,passive,align_procrustes_paired,4.979861818898031,0.8447803873159692,860
5,rest,passive,dummy,15.822527301092043,0.0,860
0,rest,passive,no_alignment,7.947570122729144,0.7113873954487896,76820
1,rest,passive,align_z_score,7.99137611888447,0.7120369414495679,76820
2,rest,passive,align_recenter,7.421434468707222,0.7473798023222848,76820
3,rest,passive,align_recenter_rescale,7.197848101762347,0.7637320708808605,76820
4,rest,passive,align_procrustes_paired,5.105760564240647,0.8371619100426015,76820
5,rest,passive,dummy,15.953322932917317,0.0,76820
0,rest,passive,no_alignment,8.688706988519737,0.6790658997495306,54886
1,rest,passive,align_z_score,8.17916488353148,0.6965141044916168,54886
2,rest,passive,align_recenter,7.865158345557763,0.7213830777546992,54886
3,rest,passive,align_recenter_rescale,7.680075225314346,0.7305902100999697,54886
4,rest,passive,align_procrustes_paired,5.79834638933423,0.7591248427230913,54886
5,rest,passive,dummy,15.710296411856474,0.0,54886
0,rest,passive,no_alignment,7.883511451145057,0.728490906047266,6265
1,rest,passive,align_z_score,9.28385904218425,0.6026217317565947,6265
2,rest,passive,align_recenter,7.735420363669761,0.7299833066462982,6265
3,rest,passive,align_recenter_rescale,7.6508533273062795,0.7376499061357581,6265
4,rest,passive,align_procrustes_paired,5.1600706091513535,0.832849980978045,6265
5,rest,passive,dummy,15.699485179407175,0.0,6265
0,rest,passive,no_alignment,7.7794772652060376,0.7444394383419235,82386
1,rest,passive,align_z_score,8.996731720463204,0.6442300955042222,82386
2,rest,passive,align_recenter,7.742770114197516,0.7405689133285134,82386
3,rest,passive,align_recenter_rescale,7.596572918759939,0.7543965472100673,82386
4,rest,passive,align_procrustes_paired,5.077185884032994,0.8287107117840841,82386
5,rest,passive,dummy,15.9103120124805,0.0,82386
0,rest,passive,no_alignment,8.070257346009,0.7166907199935673,37194
1,rest,passive,align_z_score,8.51144014728037,0.665587532959329,37194
2,rest,passive,align_recenter,7.817384862194838,0.7241170832755635,37194
3,rest,passive,align_recenter_rescale,7.806129980195638,0.7265284858931572,37194
4,rest,passive,align_procrustes_paired,5.274030636127025,0.7904546315776082,37194
5,rest,passive,dummy,15.92770670826833,0.0,37194
0,rest,passive,no_alignment,7.986241914252552,0.7097083829423437,87498
1,rest,passive,align_z_score,7.527331748124682,0.7474032482499424,87498
2,rest,passive,align_recenter,7.249514470016786,0.7635133612220891,87498
3,rest,passive,align_recenter_rescale,7.1268888130139185,0.7729722840734656,87498
4,rest,passive,align_procrustes_paired,4.676138697325039,0.8470655833994534,87498
5,rest,passive,dummy,15.947847113884555,0.0,87498
0,rest,passive,no_alignment,9.490298944593617,0.6189802202720289,44131
1,rest,passive,align_z_score,8.075691293156575,0.706531540459016,44131
2,rest,passive,align_recenter,7.875521072276895,0.7185295264430827,44131
3,rest,passive,align_recenter_rescale,7.758474764406861,0.730227182949203,44131
4,rest,passive,align_procrustes_paired,4.877781249450058,0.889513934001503,44131
5,rest,passive,dummy,15.94522620904836,0.0,44131
0,rest,passive,no_alignment,8.778328293930711,0.6675083472588381,60263
1,rest,passive,align_z_score,7.312302907603786,0.7570498033927817,60263
2,rest,passive,align_recenter,7.041135418825189,0.7767708331960372,60263
3,rest,passive,align_recenter_rescale,6.8869075766245045,0.7869848374177717,60263
4,rest,passive,align_procrustes_paired,4.815773769066115,0.8512509976580663,60263
5,rest,passive,dummy,15.741778471138847,0.0,60263
0,rest,passive,no_alignment,9.505122759315002,0.5979543124512303,16023
1,rest,passive,align_z_score,7.6776075710128655,0.7355509488313434,16023
2,rest,passive,align_recenter,7.426390885786817,0.7522775037071274,16023
3,rest,passive,align_recenter_rescale,7.326207890446417,0.7608460007576875,16023
4,rest,passive,align_procrustes_paired,4.98847014253649,0.8429811137968534,16023
5,rest,passive,dummy,15.859719188767551,0.0,16023
0,rest,passive,no_alignment,8.72138838649251,0.6854109077376345,41090
1,rest,passive,align_z_score,7.852368180135785,0.7295663227823841,41090
2,rest,passive,align_recenter,7.450469117110313,0.7551363382790347,41090
3,rest,passive,align_recenter_rescale,7.416429035275549,0.7598210619757466,41090
4,rest,passive,align_procrustes_paired,5.0764686313981935,0.8352784263803258,41090
5,rest,passive,dummy,15.799703588143524,0.0,41090
0,rest,passive,no_alignment,8.894812160713842,0.6492458070097891,67221
1,rest,passive,align_z_score,8.36293821348431,0.6950809174806889,67221
2,rest,passive,align_recenter,7.796722126416652,0.7304661189223418,67221
3,rest,passive,align_recenter_rescale,7.659786392817706,0.74294251569864,67221
4,rest,passive,align_procrustes_paired,4.869016898343184,0.8805177881960968,67221
5,rest,passive,dummy,15.879297971918879,0.0,67221
0,rest,passive,no_alignment,8.605610048301353,0.6769421924118826,64820
1,rest,passive,align_z_score,8.186249236688631,0.6981499051875939,64820
2,rest,passive,align_recenter,7.670659411998395,0.7381413378351065,64820
3,rest,passive,align_recenter_rescale,7.516691300810666,0.7462023825932644,64820
4,rest,passive,align_procrustes_paired,5.654524458064315,0.7443365937265476,64820
5,rest,passive,dummy,15.955429017160688,0.0,64820
0,rest,passive,no_alignment,8.367666944689942,0.697510166901925,769
1,rest,passive,align_z_score,8.731227891923927,0.6588222922912768,769
2,rest,passive,align_recenter,8.029734993806043,0.724058852753821,769
3,rest,passive,align_recenter_rescale,7.834675156943942,0.7385299456609614,769
4,rest,passive,align_procrustes_paired,5.4099641421398665,0.7819015629392345,769
5,rest,passive,dummy,15.98084243369735,0.0,769
0,rest,passive,no_alignment,8.056816060659985,0.7137018243935691,59735
1,rest,passive,align_z_score,7.877391012276029,0.7222439850780027,59735
2,rest,passive,align_recenter,7.637576969979042,0.7422572923427124,59735
3,rest,passive,align_recenter_rescale,7.626266015577258,0.7472391905447018,59735
4,rest,passive,align_procrustes_paired,5.014682251980683,0.8345033888430106,59735
5,rest,passive,dummy,15.964789391575664,0.0,59735
0,rest,passive,no_alignment,8.476050854289063,0.6940641025529726,62955
1,rest,passive,align_z_score,8.143822116203555,0.6958815563280256,62955
2,rest,passive,align_recenter,7.631510113648502,0.7443171572808848,62955
3,rest,passive,align_recenter_rescale,7.370283185589751,0.7597675146209815,62955
4,rest,passive,align_procrustes_paired,4.9699623840521685,0.8818926251863081,62955
5,rest,passive,dummy,15.943135725429016,0.0,62955
0,rest,passive,no_alignment,7.695131318660917,0.7443121162222226,64925
1,rest,passive,align_z_score,8.314240155056904,0.6718768851991604,64925
2,rest,passive,align_recenter,7.301822540349674,0.7574969241797929,64925
3,rest,passive,align_recenter_rescale,7.19132728060132,0.7667146541575095,64925
4,rest,passive,align_procrustes_paired,6.7325446454098605,0.555373621803702,64925
5,rest,passive,dummy,15.89609984399376,0.0,64925
0,rest,passive,no_alignment,7.9098790666697125,0.7254168637329799,67969
1,rest,passive,align_z_score,8.365995301116767,0.6692381234497637,67969
2,rest,passive,align_recenter,7.847243164107729,0.7203778617761945,67969
3,rest,passive,align_recenter_rescale,7.669646915189249,0.7327435388691163,67969
4,rest,passive,align_procrustes_paired,4.469303358483404,0.9040187161105904,67969
5,rest,passive,dummy,15.80393135725429,0.0,67969
0,rest,passive,no_alignment,8.583738009780683,0.6703808308283147,5311
1,rest,passive,align_z_score,8.523087255096932,0.6733988526876133,5311
2,rest,passive,align_recenter,8.02429302943434,0.7089029336893167,5311
3,rest,passive,align_recenter_rescale,7.842596146276273,0.722373981933355,5311
4,rest,passive,align_procrustes_paired,5.325899971443856,0.8234764469862,5311
5,rest,passive,dummy,15.870390015600623,0.0,5311
0,rest,passive,no_alignment,8.122125055625274,0.7143649732248908,83104
1,rest,passive,align_z_score,8.46353315744529,0.6779133668142172,83104
2,rest,passive,align_recenter,7.436806347853907,0.7581422083889445,83104
3,rest,passive,align_recenter_rescale,7.281379716717942,0.7698974964731631,83104
4,rest,passive,align_procrustes_paired,4.853907779174643,0.8831987001405197,83104
5,rest,passive,dummy,15.732090483619345,0.0,83104
0,rest,passive,no_alignment,7.7010662366093285,0.745034257285095,53707
1,rest,passive,align_z_score,8.54116304490918,0.664864892064875,53707
2,rest,passive,align_recenter,7.48567757752145,0.757691360484468,53707
3,rest,passive,align_recenter_rescale,7.250826645422841,0.7703529261678504,53707
4,rest,passive,align_procrustes_paired,5.566999234343762,0.801423929527769,53707
5,rest,passive,dummy,15.948159126365056,0.0,53707
0,rest,passive,no_alignment,8.40362585081241,0.696885268740854,85305
1,rest,passive,align_z_score,7.744926133081816,0.7322697518680361,85305
2,rest,passive,align_recenter,7.580892844293552,0.7482391817201381,85305
3,rest,passive,align_recenter_rescale,7.448241387702681,0.7573436375866073,85305
4,rest,passive,align_procrustes_paired,5.518322428977686,0.7447951868239233,85305
5,rest,passive,dummy,15.9288143525741,0.0,85305
0,rest,passive,no_alignment,7.900090863115698,0.7196278413860333,28693
1,rest,passive,align_z_score,8.931265272175358,0.6408762634520233,28693
2,rest,passive,align_recenter,7.933738956831522,0.7191228045288829,28693
3,rest,passive,align_recenter_rescale,7.7794586357071775,0.7309231167270884,28693
4,rest,passive,align_procrustes_paired,5.186050404438093,0.826312208987012,28693
5,rest,passive,dummy,15.800093603744148,0.0,28693
0,rest,passive,no_alignment,8.812133372405357,0.6598053149537283,71932
1,rest,passive,align_z_score,7.868636166749026,0.7223749087648372,71932
2,rest,passive,align_recenter,7.484327869640658,0.7520907409329507,71932
3,rest,passive,align_recenter_rescale,7.266126237614893,0.7673692564636192,71932
4,rest,passive,align_procrustes_paired,5.45935053840395,0.8293930593310139,71932
5,rest,passive,dummy,15.752340093603744,0.0,71932
0,rest,passive,no_alignment,8.862785271034454,0.6617495257206275,93016
1,rest,passive,align_z_score,8.4079144950528,0.6749241492114324,93016
2,rest,passive,align_recenter,7.649972948164396,0.7375577717599909,93016
