,task_source,task_target,method,mae,r2,random_state
0,rest,passive,no_alignment,17.210857502334857,-0.20686894197425687,15795
1,rest,passive,align_z_score,9.836350600029618,0.5648635306440368,15795
2,rest,passive,align_recenter,9.543811894516093,0.5507458584498622,15795
3,rest,passive,align_recenter_rescale,10.725799938900105,0.44863370004682024,15795
4,rest,passive,align_procrustes_paired,9.143492812045016,0.5788012767159958,15795
5,rest,passive,dummy,15.810296411856473,0.0,15795
0,rest,passive,no_alignment,24.164854818770372,-1.1694074207744865,860
1,rest,passive,align_z_score,9.24662169381842,0.591951649876777,860
2,rest,passive,align_recenter,8.936635316296767,0.6359300556730507,860
3,rest,passive,align_recenter_rescale,8.73964172150189,0.6413179973183775,860
4,rest,passive,align_procrustes_paired,6.674801193635368,0.7804369087898827,860
5,rest,passive,dummy,15.822527301092043,0.0,860
0,rest,passive,no_alignment,21.089513015944533,-0.6497443782924939,76820
1,rest,passive,align_z_score,11.485777881966309,0.4266381512112595,76820
2,rest,passive,align_recenter,10.82366892262054,0.4729905820906236,76820
3,rest,passive,align_recenter_rescale,9.241481959719616,0.6113924845658438,76820
4,rest,passive,align_procrustes_paired,7.651555740434981,0.7349186688305221,76820
5,rest,passive,dummy,15.953322932917317,0.0,76820
0,rest,passive,no_alignment,21.7388025906552,-0.8296703207355223,54886
1,rest,passive,align_z_score,11.126509058250956,0.44024922722953697,54886
2,rest,passive,align_recenter,12.187949686770281,0.2896499733383917,54886
3,rest,passive,align_recenter_rescale,11.164153787186947,0.44284268229584667,54886
4,rest,passive,align_procrustes_paired,8.714879098193022,0.6354267969164774,54886
5,rest,passive,dummy,15.710296411856474,0.0,54886
0,rest,passive,no_alignment,16.78670849061566,-0.15549819964002176,6265
1,rest,passive,align_z_score,11.682543860487932,0.3338295459353734,6265
2,rest,passive,align_recenter,9.49962182183107,0.5637378465968103,6265
3,rest,passive,align_recenter_rescale,9.907033707492479,0.5359894475767955,6265
4,rest,passive,align_procrustes_paired,7.993669899001613,0.6800865014972413,6265
5,rest,passive,dummy,15.699485179407175,0.0,6265
0,rest,passive,no_alignment,12.066276745846078,0.3867884487928346,82386
1,rest,passive,align_z_score,10.10785290165128,0.5343125474780022,82386
2,rest,passive,align_recenter,9.663806829973485,0.5745779067996584,82386
3,rest,passive,align_recenter_rescale,9.71252041970959,0.5657202599950275,82386
4,rest,passive,align_procrustes_paired,7.817950560259198,0.7127009002565038,82386
5,rest,passive,dummy,15.9103120124805,0.0,82386
0,rest,passive,no_alignment,15.40105447526097,-0.05244164811669472,37194
1,rest,passive,align_z_score,10.984747525538445,0.4226519845964274,37194
2,rest,passive,align_recenter,11.103189770732882,0.43950572996569404,37194
3,rest,passive,align_recenter_rescale,9.437973822028374,0.5653739905943775,37194
4,rest,passive,align_procrustes_paired,7.408616578566523,0.7280575036704497,37194
5,rest,passive,dummy,15.92770670826833,0.0,37194
0,rest,passive,no_alignment,18.397575674041008,-0.33574139532082103,87498
1,rest,passive,align_z_score,11.032343912251823,0.4381294500215903,87498
2,rest,passive,align_recenter,11.57764837387867,0.3973710881552427,87498
3,rest,passive,align_recenter_rescale,10.060840441175294,0.5227387821250182,87498
4,rest,passive,align_procrustes_paired,7.612894720609134,0.7261761056794586,87498
5,rest,passive,dummy,15.947847113884555,0.0,87498
0,rest,passive,no_alignment,17.61917699970207,-0.2574095711386639,44131
1,rest,passive,align_z_score,10.280734126416386,0.5069009286899187,44131
2,rest,passive,align_recenter,11.567154912104684,0.4016929863067983,44131
3,rest,passive,align_recenter_rescale,10.58421826970146,0.49196474586534245,44131
4,rest,passive,align_procrustes_paired,8.519135980374255,0.65246652051382,44131
5,rest,passive,dummy,15.94522620904836,0.0,44131
0,rest,passive,no_alignment,20.40490544550549,-0.744264308850479,60263
1,rest,passive,align_z_score,9.779803406497914,0.5644115008511947,60263
2,rest,passive,align_recenter,10.058393782491539,0.5274717231014798,60263
3,rest,passive,align_recenter_rescale,9.794179900367919,0.5670395093494134,60263
4,rest,passive,align_procrustes_paired,7.613998866938203,0.7036569860319062,60263
5,rest,passive,dummy,15.741778471138847,0.0,60263
0,rest,passive,no_alignment,16.244071478117213,-0.10099619649335168,16023
1,rest,passive,align_z_score,11.366569057363396,0.4063259238715836,16023
2,rest,passive,align_recenter,11.15973403510854,0.4078386285179759,16023
3,rest,passive,align_recenter_rescale,9.390930884205616,0.5749391053970774,16023
4,rest,passive,align_procrustes_paired,7.227397198682912,0.7484636831434612,16023
5,rest,passive,dummy,15.859719188767551,0.0,16023
0,rest,passive,no_alignment,28.708256707201897,-1.957677581157756,41090
1,rest,passive,align_z_score,10.012193182579262,0.5417081882611936,41090
2,rest,passive,align_recenter,9.660717214816202,0.5748551304061709,41090
3,rest,passive,align_recenter_rescale,10.199090917431477,0.5224214341115686,41090
4,rest,passive,align_procrustes_paired,8.559186919249507,0.6503373480300865,41090
5,rest,passive,dummy,15.799703588143524,0.0,41090
0,rest,passive,no_alignment,22.50961877184956,-0.9007812622425124,67221
1,rest,passive,align_z_score,11.15702142132945,0.4347928547766914,67221
2,rest,passive,align_recenter,11.144322738880323,0.4372616719266912,67221
3,rest,passive,align_recenter_rescale,11.679122443947577,0.40646247642557676,67221
4,rest,passive,align_procrustes_paired,8.31224082474466,0.6833392741973774,67221
5,rest,passive,dummy,15.879297971918879,0.0,67221
0,rest,passive,no_alignment,16.669531697363325,-0.10431910095209207,64820
1,rest,passive,align_z_score,10.481406967828795,0.5032329571239437,64820
2,rest,passive,align_recenter,10.451633622276287,0.4689361685628275,64820
3,rest,passive,align_recenter_rescale,11.150291901304158,0.4375636380495067,64820
4,rest,passive,align_procrustes_paired,8.681746506752308,0.6291360669594459,64820
5,rest,passive,dummy,15.955429017160688,0.0,64820
0,rest,passive,no_alignment,20.43673820881743,-0.6680332664714179,769
1,rest,passive,align_z_score,11.382573386244832,0.4062799979939734,769
2,rest,passive,align_recenter,10.817372716591139,0.46208968332943157,769
3,rest,passive,align_recenter_rescale,11.899221499700385,0.37257465140705337,769
4,rest,passive,align_procrustes_paired,9.202128403686201,0.5826562924998329,769
5,rest,passive,dummy,15.98084243369735,0.0,769
0,rest,passive,no_alignment,25.605789739213723,-1.4479017237491187,59735
1,rest,passive,align_z_score,10.076615758815965,0.5417866014061115,59735
2,rest,passive,align_recenter,10.289182232431735,0.5033064392719917,59735
3,rest,passive,align_recenter_rescale,10.961507322733745,0.45960193500831414,59735
4,rest,passive,align_procrustes_paired,8.57202023808379,0.6612973358842937,59735
5,rest,passive,dummy,15.964789391575664,0.0,59735
0,rest,passive,no_alignment,24.385674434007736,-1.203766727928651,62955
1,rest,passive,align_z_score,12.99452052813678,0.23709238091857365,62955
2,rest,passive,align_recenter,10.9544283623969,0.4511531642996045,62955
3,rest,passive,align_recenter_rescale,10.940225276352145,0.4651105560246527,62955
