,method,mae,r2,random_state
0,no_alignment,12.255583618082767,0.44931002356787353,15795
1,dummy,20.422535211267604,-0.07122895866706958,15795
2,align_z_score,16.27360685199456,0.08780925436406772,15795
3,dummy,20.422535211267604,-0.07122895866706958,15795
4,align_recenter,12.372375273477601,0.44216609225942394,15795
5,dummy,20.422535211267604,-0.07122895866706958,15795
6,align_recenter_rescale,12.558886649609304,0.41094506514038454,15795
7,dummy,20.422535211267604,-0.07122895866706958,15795
8,align_procrustes,16.59559519468936,0.051228006390715564,15795
9,dummy,20.422535211267604,-0.07122895866706958,15795
0,no_alignment,16.16420662435814,0.10160407313242892,860
1,dummy,20.422535211267604,-0.05675324925235237,860
2,align_z_score,21.334760923644097,-0.5730898444979129,860
3,dummy,20.422535211267604,-0.05675324925235237,860
4,align_recenter,12.50566467661904,0.4575594987630227,860
5,dummy,20.422535211267604,-0.05675324925235237,860
6,align_recenter_rescale,12.201409701868945,0.4590443502739556,860
7,dummy,20.422535211267604,-0.05675324925235237,860
8,align_procrustes,18.590412464015294,-0.12857190733568347,860
9,dummy,20.422535211267604,-0.05675324925235237,860
0,no_alignment,12.673154448027836,0.4109639866721504,76820
1,dummy,20.422535211267604,-0.07270150263083797,76820
2,align_z_score,19.980161857441423,-0.38358634080306775,76820
3,dummy,20.422535211267604,-0.07270150263083797,76820
4,align_recenter,12.596661643195194,0.43107647078474376,76820
5,dummy,20.422535211267604,-0.07270150263083797,76820
6,align_recenter_rescale,12.080766138051686,0.43571651471064876,76820
7,dummy,20.422535211267604,-0.07270150263083797,76820
8,align_procrustes,18.049273738567422,-0.032153363592256845,76820
9,dummy,20.422535211267604,-0.07270150263083797,76820
0,no_alignment,14.227834521413401,0.2981490430282717,54886
1,dummy,20.76525821596244,-0.08508659950968478,54886
2,align_z_score,17.838896454854144,-0.08654064843426745,54886
3,dummy,20.76525821596244,-0.08508659950968478,54886
4,align_recenter,11.756019920412582,0.5205404698800296,54886
5,dummy,20.76525821596244,-0.08508659950968478,54886
6,align_recenter_rescale,11.838989313990636,0.49522751873550086,54886
7,dummy,20.76525821596244,-0.08508659950968478,54886
8,align_procrustes,17.385190532791487,0.011169819671985493,54886
9,dummy,20.76525821596244,-0.08508659950968478,54886
0,no_alignment,16.027892829477846,0.1077072894660962,6265
1,dummy,20.76525821596244,-0.08057326119835229,6265
2,align_z_score,15.664150562893893,0.11041299815452121,6265
3,dummy,20.76525821596244,-0.08057326119835229,6265
4,align_recenter,12.496862563198595,0.44501201519082356,6265
5,dummy,20.76525821596244,-0.08057326119835229,6265
6,align_recenter_rescale,12.483363674968292,0.4298626470843655,6265
7,dummy,20.76525821596244,-0.08057326119835229,6265
8,align_procrustes,17.165801026397283,0.030901098664756765,6265
9,dummy,20.76525821596244,-0.08057326119835229,6265
0,no_alignment,13.553369880196598,0.2963226952581961,82386
1,dummy,20.079812206572768,-0.05219526306367617,82386
2,align_z_score,17.24267500189174,-0.0895225881741275,82386
3,dummy,20.079812206572768,-0.05219526306367617,82386
4,align_recenter,13.85025784779102,0.2586649730350854,82386
5,dummy,20.079812206572768,-0.05219526306367617,82386
6,align_recenter_rescale,13.745566400871702,0.2517906256752285,82386
7,dummy,20.079812206572768,-0.05219526306367617,82386
8,align_procrustes,18.900325059218694,-0.21664282575573313,82386
9,dummy,20.079812206572768,-0.05219526306367617,82386
0,no_alignment,14.655395814683322,0.24943146283158724,37194
1,dummy,20.422535211267604,-0.05446704590200646,37194
2,align_z_score,16.728911720657212,-0.009109692910243217,37194
3,dummy,20.422535211267604,-0.05446704590200646,37194
4,align_recenter,11.633645692586187,0.4902979385384594,37194
5,dummy,20.422535211267604,-0.05446704590200646,37194
6,align_recenter_rescale,11.807825186004893,0.4550070404580413,37194
7,dummy,20.422535211267604,-0.05446704590200646,37194
8,align_procrustes,16.21216450739298,0.08189540360414538,37194
9,dummy,20.422535211267604,-0.05446704590200646,37194
0,no_alignment,14.630517297694912,0.25451256055290117,87498
1,dummy,20.422535211267604,-0.07559375453116668,87498
2,align_z_score,20.06797691824135,-0.3638743319914082,87498
3,dummy,20.422535211267604,-0.07559375453116668,87498
4,align_recenter,12.797879983265865,0.43623051585241956,87498
5,dummy,20.422535211267604,-0.07559375453116668,87498
6,align_recenter_rescale,12.752369410801549,0.3902031438923662,87498
7,dummy,20.422535211267604,-0.07559375453116668,87498
8,align_procrustes,18.676591347728948,-0.12893779134235261,87498
9,dummy,20.422535211267604,-0.07559375453116668,87498
0,no_alignment,13.291451092407609,0.35041394595173603,44131
1,dummy,20.76525821596244,-0.08353414447288388,44131
2,align_z_score,18.099936404794395,-0.16502818529733743,44131
3,dummy,20.76525821596244,-0.08353414447288388,44131
4,align_recenter,12.864829454693622,0.389969258195615,44131
5,dummy,20.76525821596244,-0.08353414447288388,44131
6,align_recenter_rescale,12.029773092615114,0.43109369983577106,44131
7,dummy,20.76525821596244,-0.08353414447288388,44131
8,align_procrustes,18.437560529924696,-0.11580081428028799,44131
9,dummy,20.76525821596244,-0.08353414447288388,44131
0,no_alignment,12.384951650285181,0.44337312192654443,60263
1,dummy,20.079812206572768,-0.05288155246885551,60263
2,align_z_score,19.584184208427555,-0.282358421038156,60263
3,dummy,20.079812206572768,-0.05288155246885551,60263
4,align_recenter,11.140694458095085,0.5419572765126978,60263
5,dummy,20.079812206572768,-0.05288155246885551,60263
6,align_recenter_rescale,11.03575927301151,0.5484437190077782,60263
7,dummy,20.079812206572768,-0.05288155246885551,60263
8,align_procrustes,17.663768774679177,-0.03909748156021564,60263
9,dummy,20.079812206572768,-0.05288155246885551,60263
0,no_alignment,13.779766038600735,0.2594983061742697,16023
