,scenario,parameter,method,mae,r2,random_state
0,Recenter,0.0,no_alignment,0.00034714217467191977,0.9999998815026144,7270
1,Recenter,0.0,align_z_score,0.029512839034939637,0.9991574371479561,7270
2,Recenter,0.0,align_recenter,0.00034714217467194557,0.9999998815026144,7270
3,Recenter,0.0,align_recenter_rescale,0.00034714217467230255,0.9999998815026144,7270
4,Recenter,0.0,align_procrustes_paired,0.00034714217467211915,0.9999998815026144,7270
5,Recenter,0.0,align_procrustes,0.0033238413317683096,0.9999889625942319,7270
6,Recenter,0.0,dummy,1.0,0.0,7270
7,Recenter,0.5,no_alignment,0.29464296366835513,0.9189761857165977,7270
8,Recenter,0.5,align_z_score,0.2521693078805482,0.9379242510019965,7270
9,Recenter,0.5,align_recenter,0.011299020705642634,0.9998638812669103,7270
10,Recenter,0.5,align_recenter_rescale,0.011299020705646146,0.9998638812669101,7270
11,Recenter,0.5,align_procrustes_paired,0.0003471421746497827,0.9999998815026144,7270
12,Recenter,0.5,align_procrustes,0.00332384133178925,0.9999889625942319,7270
13,Recenter,0.5,dummy,1.0,0.0,7270
14,Recenter,1.0,no_alignment,0.5875438317135516,0.6862622521371786,7270
15,Recenter,1.0,align_z_score,0.36098567830390904,0.8618296747596527,7270
16,Recenter,1.0,align_recenter,0.024683546593993282,0.9993705134387489,7270
17,Recenter,1.0,align_recenter_rescale,0.024683546593990913,0.9993705134387489,7270
18,Recenter,1.0,align_procrustes_paired,0.00034714217463034316,0.9999998815026144,7270
19,Recenter,1.0,align_procrustes,0.00332384133179561,0.9999889625942319,7270
20,Recenter,1.0,dummy,1.0,0.0,7270
21,Recenter,1.5,no_alignment,0.7693706885235062,0.46321046721197734,7270
22,Recenter,1.5,align_z_score,0.44484039391980607,0.790651469412486,7270
23,Recenter,1.5,align_recenter,0.04218853950426827,0.9982092040825443,7270
24,Recenter,1.5,align_recenter_rescale,0.042188539504253005,0.9982092040825455,7270
25,Recenter,1.5,align_procrustes_paired,0.0003471421746170976,0.9999998815026144,7270
26,Recenter,1.5,align_procrustes,0.0033238413317907235,0.9999889625942319,7270
27,Recenter,1.5,dummy,1.0,0.0,7270
28,Recenter,2.0,no_alignment,0.9070244348103171,0.2571232091598976,7270
29,Recenter,2.0,align_z_score,0.5645878145884916,0.6733856094456325,7270
30,Recenter,2.0,align_recenter,0.06350152076585469,0.9959930203924198,7270
31,Recenter,2.0,align_recenter_rescale,0.06350152076582373,0.9959930203924238,7270
32,Recenter,2.0,align_procrustes_paired,0.00034714217460210853,0.9999998815026144,7270
33,Recenter,2.0,align_procrustes,0.003323841331815163,0.9999889625942319,7270
34,Recenter,2.0,dummy,1.0,0.0,7270
0,Recenter,0.0,no_alignment,0.00033851507029159037,0.9999998872001586,860
1,Recenter,0.0,align_z_score,0.025437456038248853,0.9993933014125326,860
2,Recenter,0.0,align_recenter,0.0003385150702906359,0.9999998872001586,860
3,Recenter,0.0,align_recenter_rescale,0.00033851507028962086,0.9999998872001586,860
4,Recenter,0.0,align_procrustes_paired,0.0003385150702905377,0.9999998872001586,860
5,Recenter,0.0,align_procrustes,0.0033223355243136325,0.9999889625942319,860
6,Recenter,0.0,dummy,1.0,0.0,860
7,Recenter,0.5,no_alignment,0.41465222635678234,0.8693915357081908,860
8,Recenter,0.5,align_z_score,0.2937192406593269,0.9230637793095666,860
9,Recenter,0.5,align_recenter,0.015059555308191676,0.9997732643212658,860
10,Recenter,0.5,align_recenter_rescale,0.015059555308199387,0.9997732643212657,860
11,Recenter,0.5,align_procrustes_paired,0.0003385150703635602,0.9999998872001585,860
12,Recenter,0.5,align_procrustes,0.003322335524315723,0.9999889625942318,860
13,Recenter,0.5,dummy,1.0,0.0,860
14,Recenter,1.0,no_alignment,0.8223823283821371,0.48574430255449974,860
15,Recenter,1.0,align_z_score,0.4742926658185466,0.7994672668001009,860
16,Recenter,1.0,align_recenter,0.03347921701740773,0.9988661184102641,860
17,Recenter,1.0,align_recenter_rescale,0.0334792170174231,0.9988661184102632,860
18,Recenter,1.0,align_procrustes_paired,0.00033851507043980233,0.9999998872001585,860
19,Recenter,1.0,align_procrustes,0.0033223355243193575,0.9999889625942318,860
20,Recenter,1.0,dummy,1.0,0.0,860
21,Recenter,1.5,no_alignment,1.0746325626824604,0.12639307864997384,860
22,Recenter,1.5,align_z_score,0.5752535316897974,0.7020488680045545,860
23,Recenter,1.5,align_recenter,0.0556623155100161,0.9968829676703341,860
24,Recenter,1.5,align_recenter_rescale,0.05566231551004131,0.996882967670332,860
25,Recenter,1.5,align_procrustes_paired,0.000338515070516072,0.9999998872001584,860
26,Recenter,1.5,align_procrustes,0.0033223355243147397,0.9999889625942318,860
27,Recenter,1.5,dummy,1.0,0.0,860
28,Recenter,2.0,no_alignment,1.2395379794465073,-0.1574529877773312,860
