,scenario,parameter,method,mae,r2,random_state
0,Recenter,0.0,no_alignment,0.003762135767501604,0.99998621549651,7270
1,Recenter,0.0,align_z_score,0.2857737991850954,0.9045494673277035,7270
2,Recenter,0.0,align_recenter,0.003762135767495399,0.99998621549651,7270
3,Recenter,0.0,align_recenter_rescale,0.0037621357674953674,0.99998621549651,7270
4,Recenter,0.0,align_procrustes,0.1752734302677286,0.9689927927029603,7270
5,Recenter,0.0,align_procrustes_paired,0.003762135767496212,0.99998621549651,7270
6,Recenter,0.0,dummy,1.0,-0.0024538767508053283,7270
7,Recenter,0.5,no_alignment,0.9141006974699638,0.2186945867503477,7270
8,Recenter,0.5,align_z_score,0.7010258923027974,0.5112812113896875,7270
9,Recenter,0.5,align_recenter,0.0327107750984212,0.9963037337607326,7270
10,Recenter,0.5,align_recenter_rescale,0.008247513065933776,0.9999286533730976,7270
11,Recenter,0.5,align_procrustes,0.175273430267777,0.9689927927029234,7270
12,Recenter,0.5,align_procrustes_paired,0.0037621357675005486,0.99998621549651,7270
13,Recenter,0.5,dummy,1.0,-0.0024538767508053283,7270
14,Recenter,1.0,no_alignment,1.6572175125350972,-1.2684912618333564,7270
15,Recenter,1.0,align_z_score,1.5719187336081704,-1.2578151697512348,7270
16,Recenter,1.0,align_recenter,0.08347987034933256,0.9818608827041626,7270
17,Recenter,1.0,align_recenter_rescale,0.0216599099959659,0.9994815059044956,7270
18,Recenter,1.0,align_procrustes,0.17527343026784517,0.9689927927028924,7270
19,Recenter,1.0,align_procrustes_paired,0.003762135767506766,0.9999862154965099,7270
20,Recenter,1.0,dummy,1.0,-0.0024538767508053283,7270
21,Recenter,1.5,no_alignment,2.003831462689292,-2.225367658513997,7270
22,Recenter,1.5,align_z_score,2.683656089904851,-5.226183963669229,7270
23,Recenter,1.5,align_recenter,0.13728769886796968,0.9606843888771952,7270
24,Recenter,1.5,align_recenter_rescale,0.04227454241555812,0.9980005523291172,7270
25,Recenter,1.5,align_procrustes,0.17527343026783465,0.9689927927029027,7270
26,Recenter,1.5,align_procrustes_paired,0.003762135767500228,0.99998621549651,7270
27,Recenter,1.5,dummy,1.0,-0.0024538767508053283,7270
28,Recenter,2.0,no_alignment,2.1259192886367426,-2.6142606409624998,7270
29,Recenter,2.0,align_z_score,3.922616621133155,-11.631459880785672,7270
30,Recenter,2.0,align_recenter,0.1888206817381006,0.9359736106423393,7270
31,Recenter,2.0,align_recenter_rescale,0.06764990365512819,0.9948605341492923,7270
32,Recenter,2.0,align_procrustes,0.17527343026772746,0.9689927927029477,7270
33,Recenter,2.0,align_procrustes_paired,0.003762135767500046,0.99998621549651,7270
34,Recenter,2.0,dummy,1.0,-0.0024538767508053283,7270
